date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:48:46	109/109	---M-Z	200	added ('OK')	text/plain	date:Tue,%2026%20Nov%202024%2003:48:46%20GMT	https://htmlbeans.com/robots.txt		(from )
04:48:46	19981/19981	---M-Z	200	added ('OK')	text/html	etag:%224e0d-64369a51-1674958a9a8133ef;gz%22	https://htmlbeans.com/html/app-landing/home.html	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/home.html	(from )
04:48:48	96802/96802	---M-Z	200	added ('OK')	text/css	etag:%2217a22-64369a51-f79c2348bb8df0a;gz%22	https://htmlbeans.com/html/app-landing/css/bootstrap.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/css/bootstrap.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:51	80310/80310	---M-Z	200	added ('OK')	text/css	etag:%22139b6-64369a51-40b35bc01c516a35;gz%22	https://htmlbeans.com/html/app-landing/css/plugins.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/css/plugins.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:51	27488/27488	---M-Z	200	added ('OK')	text/css	etag:%226b60-64369a51-26e0a09e68f31fec;gz%22	https://htmlbeans.com/html/app-landing/css/font-awesome.min.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/css/font-awesome.min.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:53	44858/44858	---M-Z	200	added ('OK')	text/css	etag:%22af3a-64369a51-6f07f94b6f764520;gz%22	https://htmlbeans.com/html/app-landing/style.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/style.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:53	6224/6224	---M-Z	200	added ('OK')	text/css	etag:%221850-64369a51-1cdbd5c1b4c9b99a;gz%22	https://htmlbeans.com/html/app-landing/css/colors.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/css/colors.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:53	10477/10477	---M-Z	200	added ('OK')	text/css	etag:%2228ed-64369a51-d4e99d7eb82c747b;gz%22	https://htmlbeans.com/html/app-landing/css/responsive.css	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/css/responsive.css	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:54	7153/7153	---M--	200	added ('OK')	image/png	etag:%221bf1-64369a51-8c6bc17c9ef38267;;;%22	https://htmlbeans.com/html/app-landing/images/logo2.png	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/images/logo2.png	(from https://htmlbeans.com/html/app-landing/home.html)
04:48:54	7158/7158	---M--	200	added ('OK')	image/png	etag:%221bf6-64369a51-747b7e1906b45660;;;%22	https://htmlbeans.com/html/app-landing/images/logo.png	C:/My%20Web%20Sites/cooper/htmlbeans.com/html/app-landing/images/logo.png	(from https://htmlbeans.com/html/app-landing/home.html)
